,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_ID
1,1630162,Anthony Edwards,Anthony,1610612750,MIN,21.0,79,40,39,0.506,36.0,8.9,19.5,0.459,2.7,7.3,0.369,4.0,5.3,0.756,0.6,5.2,5.8,4.4,3.3,1.6,0.7,0.7,2.4,3.5,24.6,1.2,41.9,9,0,42.2,1,2,1,10,1,1,1,13,2,1,7,2,1,13,8,3,3,5,1,1,5,1,5,3,1,6,1,3,2,1,2022-23
2,203085,Austin Rivers,Austin,1610612750,MIN,30.0,52,25,27,0.481,19.5,1.8,4.0,0.435,0.8,2.4,0.35,0.6,0.8,0.769,0.1,1.5,1.6,1.4,0.4,0.5,0.1,0.3,1.5,0.9,4.9,-2.7,10.4,0,0,10.0,9,9,7,15,9,13,13,15,11,10,12,14,14,12,18,12,14,10,15,11,16,13,11,13,13,19,13,9,2,14,2022-23
3,1627854,Bryn Forbes,Bryn,1610612750,MIN,29.0,25,9,16,0.36,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,0.6,1.0,0.2,0.4,0.6,0.7,0.5,0.3,0.1,0.2,0.9,0.5,3.6,-1.9,5.9,0,0,6.1,15,18,12,20,14,16,15,20,13,12,16,13,15,1,16,20,19,14,14,14,15,15,16,15,16,18,17,9,2,17,2022-23
5,1630183,Jaden McDaniels,Jaden,1610612750,MIN,22.0,79,41,38,0.519,30.6,4.7,9.1,0.517,1.4,3.4,0.398,1.3,1.8,0.736,1.2,2.7,3.9,1.9,1.4,0.9,1.0,0.4,3.4,1.6,12.1,0.9,23.8,0,0,23.0,1,1,2,7,6,5,6,6,6,7,3,8,9,14,4,6,6,8,6,5,2,7,2,8,6,8,7,9,2,7,2022-23
6,1629669,Jaylen Nowell,Jaylen,1610612750,MIN,23.0,65,34,31,0.523,19.3,4.3,9.6,0.448,1.0,3.6,0.289,1.2,1.5,0.778,0.6,2.1,2.6,2.0,1.0,0.6,0.1,0.6,1.6,1.2,10.8,-0.1,18.2,0,0,18.0,6,4,6,5,10,8,5,14,9,6,17,11,10,11,10,10,9,7,10,9,16,3,10,11,8,12,9,9,2,9,2022-23
7,1629162,Jordan McLaughlin,Jordan,1610612750,MIN,27.0,43,22,21,0.512,15.8,1.4,3.4,0.421,0.6,1.8,0.308,0.3,0.4,0.833,0.3,1.1,1.4,3.4,0.8,0.7,0.1,0.2,0.7,0.5,3.7,2.0,12.4,0,0,10.9,10,10,10,9,12,14,14,17,14,13,15,17,17,8,12,14,16,6,11,7,14,16,18,16,14,1,11,9,2,12,2022-23
8,1631169,Josh Minott,Josh,1610612750,MIN,20.0,15,7,8,0.467,6.4,1.2,2.4,0.5,0.1,0.4,0.333,0.5,0.5,1.0,0.3,1.3,1.7,0.3,0.2,0.3,0.4,0.4,0.7,0.3,3.1,1.6,7.4,1,0,6.5,19,19,19,18,18,16,17,8,17,18,14,16,16,1,13,13,13,19,18,16,7,6,17,17,18,2,15,7,2,15,2022-23
9,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,27.0,29,15,14,0.517,33.0,7.3,14.8,0.495,2.1,5.7,0.366,4.1,4.7,0.874,1.7,6.5,8.1,4.8,3.0,0.7,0.6,0.7,3.8,4.6,20.8,1.3,38.6,9,0,38.3,12,13,13,8,2,2,2,9,4,4,8,1,3,3,2,2,2,4,2,8,6,2,1,1,2,3,2,3,2,2,2022-23
10,203937,Kyle Anderson,Kyle,1610612750,MIN,29.0,69,36,33,0.522,28.4,3.7,7.2,0.509,0.6,1.5,0.41,1.4,2.0,0.735,1.0,4.4,5.3,4.9,1.5,1.1,0.9,0.3,2.1,1.9,9.4,1.3,27.7,10,3,24.3,4,3,5,6,7,9,9,7,12,14,2,7,6,15,6,4,4,3,5,3,3,11,8,6,9,5,6,2,1,6,2022-23
11,1630568,Luka Garza,Luka,1610612750,MIN,24.0,28,15,13,0.536,8.7,2.3,4.1,0.543,0.5,1.4,0.359,1.5,1.9,0.788,1.2,1.1,2.3,0.6,0.5,0.1,0.1,0.3,1.5,1.3,6.5,0.6,10.2,0,0,10.2,14,13,14,4,15,11,12,4,15,15,11,6,8,10,3,15,11,15,13,19,18,10,12,10,11,9,14,9,2,13,2022-23
